texts,Classes,Key_words
"36,""Телефона не даю - я его практически не слышу. Предлагаю радикально изменить снабжение масками лучше всех жителей Москвы или хотя бы старшее поколение, живущее одиноко. Они все известны, указаны в ЕПД. Надо исключить спекуляцию по 50 р./маска. Вчера сам купил 4 шт на рынке у м. Бибирево впервые в 2020 г. Спасибо, знакомая продавщица показала, у кого. Но это не выход. Пенсия не позволяет менять 3 маски в день. В т.ч. поэтому резко растёт заболеваемость в городе. Нужно сделать следующее (один из возможных вариантов): 1. изменить продажу масок в принципе. 2. Ввести сопровождение работников почты, 6 дней в неделю обходящих абсолютное большинство п/я москвичей, волонтёрами с пачками масок, которые по 3 шт. опускать в почтовые ящики, можно между газетами. По субботам удваивать это количество. Уверен, что сравнительно с другими мерами помощи жителям в борьбе с инфекцией, эта будет самой эффективной и дешёвой, поэтому город вполне может взять её на себя. Организация оплаты обойдётся дороже. Очень надеюсь на реализацию этого предложения, не вижу неё серьёзных препятствий. Связь со мной, к сожалению, при необходимости возможна только по электронной почте.""",Предложение медицина,"Маски, заболеваемость, инфекция, предлагаю, изменить, заменить"
"37,Не могу зарегистрироваться",Сайт,не могу зарегистрироваться
"38,""Добрый день! Обращаюсь к вам от лица организации ООО """"Лаборатория Наносемантика"""" с предложением.Если вкратце о нас: Мы уже 16 лет на рынке искусственного интеллекта, разработали более 100 виртуальных ассистентов на 13 языках для разных отраслей, в том числе государственных, разработки полностью на собственной платформе и при участии большой команды специалистов. Я предлагаю реализовать проект по созданию виртуального помощника на сайте https://www.mos.ru/, который сможет вести свободную естественную коммуникацию с пользователями, оперативно консультировать по разным вопросам, не задействуя при этом операторов чата. Почему сейчас виртуальные ассистенты так набирают популярность и чем они могут быть полезны вам? Во-первых, у ваших пользователей сократиться время на поиск информации на сайте минимум в 2 раза. Во-вторых, это позволит высвободить большое количество времени операторов чата. В-третьих, люди будут активнее пользоваться ресурсом сайта https://www.mos.ru/ после общения с ботом. Предлагаю ознакомиться с материалами по данным решениям: 1. Презентация о возможностях чат-ботов - https://nanosemantics.ai/wp-content/uploads/2019/10/RU_Nanosemantics-Lab_Presentation.pdf 2. Некоторые реализованные проекты для тестирования - https://nanosemantics.ai/projects/ 3. Демо-проект, который делали для Московского метрополитена (отвечает на вопросы по карте """"Тройка"""") - http://demo.nanosemantics.ru/demos/2.0/dev/mosmetro/ 4. Наш виртуальный сотрудник Элиза (понимает и текст, и голос, отвечает пока только текстом) - http://demo.nanosemantics.ru/demos/2.0/demos/voice-demo/ Прошу вас дать обратную связь по моему предложению. Скажите, можем ли мы пообщаться более предметно по данной тематике? Как эксперты и лидеры в области искусственного интеллекта, готовы дать подробную консультацию. Благодарю за внимание, и буду рад любой обратной связи от вас!""",Предложение сайт,"сайт, https://www.mos.ru/, виртуальный, информация, предлагаю реализовать, Благодарю за внимание"
"39,""Здравствуйте ,я не могу в Эжд зайти""",Сайт,"Эжд, зайти"
"40,В списке для записи на прием в МФЦ отсутствует: Получение свидетельства о рождении!  Как мне записаться на приём что бы получить свидетельство о рождении?",Услуги,"МФЦ, запись, прием, получение"
"41,""Добрый день. Ранее была произведена отмена записи на получение услуги в МВД - снятие отпечатков для получения загранпаспорта. Написал обращение через личный кабинет. Текст ниже. Получил ответ от МВД (прикреплен к обращению). Вероятно, мне следует по данному вопросу обратиться к вам. У меня и моей семьи на 1 апреля была запись в отделение МФЦ Тропарево-Никулино. Услуга: Оформление биометрического загранпаспорта гражданина Российской Федерации (МВД) Номер брони: 0157-8599781 Но, к сожалению, в связи с введение карантинных мер, запись была отменена. Хотел обратиться с предложением. При возобновлении записи у людей, у которых она была отменена, должен быть приоритет перед первичной записью, т.к. сроки получения загранпаспорта сдвигаются и для людей с отменой это может быть критичнее. Это может повлиять на запланированную поездку (если мир не остановится и путешествия еще когда-нибудь будут актуальны). Вариант один: автоматически восстановить запись на ближайшее время с момента восстановления работы сервиса (если предложенное время меня не устроит, я перенесу сам запись на свободное время). Это не лучший вариант, т.к. на соседнее время была запись у жены с детьми. Но лучше уж такой. Вариант два: После рассылки о восстановлении работы сервиса дать суточную фору для записи людям, у которых запись была отменена, а через сутки осуществлять запись уже на общих основаниях. Прошу рассмотреть мое обращение и сообщить о результатах.""""""",Услуги,"отмена записи, получение услуги, МВД, загранпаспорт, МФЦ, услуга, оформление "
"42,я хочу предложить мэру помощь таксистов основанную ра старом опыте",Предложение транспорт,"таксисты, хочу предложить помощь"
"43,""Мэру Москвы #имя Здравствуйте уважаемые чиновники города Москвы.! В настоящее время вы тупо убиваете людей по методике плюралистов, с помощью благих пожеланий: - Мы вас обеспечим всем необходимым! Мы заботимся и всё делаем для вашего блага. и прочая хрень. По такой же методике сеете панику и страх даже через СМИ. Если бы в годы войны москвичи сами не вышли на крыши, не стали активно заботиться о себе и городе, то Москвы бы не было сечас. В то время понимали, что если есть трудности, то необходимо уметь мобилизовать каждого. А сейчас в Правительстве паникёры.  Повторяю предложение обучить в короткое время врачей и граждан элементарным способам мобилизации, повышению иммунитета, которые необходимы и чиновникам чтобы не истерили. Причины появлений истерий в приложенном файле. Помоги себе сам. Подборка способов повышения иммунитета. Заточка мозгов №5 с учётом самоорганизации дыхания. Наши социальные представления  часто мешают самоорганизации иммунитета, ослабляя  работу органов и межклеточного взаимодействия. Проверьте себя и детей. А) Положите ладони на грудь и живот и проверьте  наличие полного дыхания. . Оно должно быть волнообразным, первым, при вдохе,   поднимется грудь, затем живот и в обратном порядке, выдох. Полное дыхание обеспечивает и 100% обогащение кислородом кровь. Каждый из нас испытывал появление второго дыхания во время длительных физических нагрузках.  Мозг потребляет до 60% крови обогащённой кислородом, а так как неполное дыхание создаёт дефицит до 30%, то наше бессознательное без такого питания делает мозг тупым и говорит ему «Ну ты придурок, отключись, а то погибнем». Сознательная заточка мозгов на восстановление полного дыхания, как способ преодоления волнения, стрессов имеется не только в спорте, но и во многих профессиях. Она необходима даже детям, когда малыша просят прочитать стихотворение или вызвали к доске… Подробнее, Способы укрепления иммунитета http://philosophystorm.org/sposoby-ukrepleniya-immuniteta""",Предложение медицина,"мобилизовать, повышение иммунитета, самоорганизация дыхания, работа органов, межклеточного взаимодействия, предложение"
"44,""Доброго времени суток,  вот хотел бы предложить Вам внести не большое новшество с Covi19 , внесите поправку в закон ПРИНУДИТЕЛЬНОЕ ОБСЛЕДОВАНИЕ НА ВИРУС всех без исключения,  так как люди заболевшие вирусом сидят дома, гуляют и не обследыаються,  бояться и распростроняют виру. Это будит справедливо и надежно.""",Предложение медицина,"covid-19, ОБСЛЕДОВАНИЕ, ВИРУС, заболевшие, не обследываются, распростроняют вирус, внесите поправку, предложить, внести не большое новшество, хотел бы"
"45,""Прошу рассмотреть возможность переименовать ул. Юлиуса Фучика в улицу Освободителя Праги Маршала Конева. Имя Юлиуса Фучика, коммуниста, журналиста, антифашиста  при этом присвоить одной из новых улиц города Москвы. Можно также рассмотреть вариант поменять местами ул. Маршала Конева и Юлиуса Фучика. Но этот вариант более сложный в исполнении. К тому же, я как житель района Щукино не хотел бы, чтобы из нашего района пропала улица имени  доблестного Маршала.""",Предложение благоустройство,"район Щукино, ул., улица, город, Москва, Прошу, рассмотреть возможность, переименовать"
"46,""Прошу рассмотреть возможность переименовать ул. Юлиуса Фучика в улицу Освободителя Праги Маршала Конева. Имя Юлиуса Фучика, коммуниста, журналиста, антифашиста  при этом присвоить одной из новых улиц города Москвы. Можно также рассмотреть вариант поменять местами ул. Маршала Конева и Юлиуса Фучика. Но этот вариант более сложный в исполнении. К тому же, я как житель района Щукино не хотел бы, чтобы из нашего района пропала улица имени  доблестного Маршала.""",Предложение благоустройство,"район Щукино, ул., улица, город, Москва, Прошу, рассмотреть возможность, переименовать"
"47,Добрый день! Мы хотели провести общенародную акцию Дети за врачей и подготовили видеоматериал от юной певицы Виктории и продюсера #имя. Поддержите нас пожалуйста и помогите разместить на сайте мэра города этот призыв детей России!",Предложение сайт,"разместить, на сайте мэра города, хотели, провести, помогите разместить"
"48,Добрый день! Мы хотели провести общенародную акцию Дети за врачей и подготовили видеоматериал от юной певицы Виктории и продюсера #имя. Поддержите нас пожалуйста и помогите разместить на сайте мэра города этот призыв детей России!",Предложение сайт,"разместить, на сайте мэра города, хотели, провести, помогите разместить"
"49,Добрый день! Мы хотели провести общенародную акцию Дети за врачей и подготовили видеоматериал от юной певицы Виктории и продюсера #имя. Поддержите нас пожалуйста и помогите разместить на сайте мэра города этот призыв детей России!",Предложение сайт,"разместить, на сайте мэра города, хотели, провести, помогите разместить"
"50,""Здравствуйте. Меня зовут Андрей, я студент НИЯУ МИФИ. В связи с текущей ситуацией с пандемией, мы с товарищем задались целью создать бота, который будет показывать, когда и по каким адресам в Москве забирали людей с короновирусом. Мы провели опрос своих друзей, знакомых и родственников и выяснили, что людям была бы интересна такая информация. Понимать, насколько их район безопасен или нет. Для реализации этой идеи нам необходимы данные, когда и из каких адресов или районов в Москве забирали людей в больницы с диагнозом «короновирус». Этих данных в свободном доступе нам найти не удалось. В связи с этим пишу вам, могли бы вы предоставить нам доступ к обновляющейся базе данных с информацией по больным короновирусом или направить нас куда-то, где мы могли бы эти данные получить?""",Медицина," пандемия, люди с короновирусом, больницы, с диагнозом короновирус"
"52,Здравствуйте.это просто дурдом какой то.в день по 1000 человек заражаются.такое ощущение где то очередь стоит в москве за вирусом.а сколько идиотов еще гуляют.а нельзя сделать по другому.штрафы ваши не помогают.можно просто подойти сфотографировать и адрес записать.как только из этих адресов поступит звонок в скорую к ним просто НЕ ВЫЕЗЖАТЬ.сейчас они должны помощь получить и все места в больницах займут а кто соблюдал режим потом случайно заболеет ему скажут мест нет.а если еще раз поймать на улице кто нарушил просто в камеру .на краснопресненскую пересыльную под них сделать.достали идиоты ходят гуляют а потом спасай этих клоунов",Медицина,"заражаются, вирус, больница, заболеет"
"53,Здравствуйте.это просто дурдом какой то.в день по 1000 человек заражаются.такое ощущение где то очередь стоит в москве за вирусом.а сколько идиотов еще гуляют.а нельзя сделать по другому.штрафы ваши не помогают.можно просто подойти сфотографировать и адрес записать.как только из этих адресов поступит звонок в скорую к ним просто НЕ ВЫЕЗЖАТЬ.сейчас они должны помощь получить и все места в больницах займут а кто соблюдал режим потом случайно заболеет ему скажут мест нет.а если еще раз поймать на улице кто нарушил просто в камеру .на краснопресненскую пересыльную под них сделать.достали идиоты ходят гуляют а потом спасай этих клоунов",Медицина,"заражаются, вирус, больница, заболеет"
"54,Здравствуйте.это просто дурдом какой то.в день по 1000 человек заражаются.такое ощущение где то очередь стоит в москве за вирусом.а сколько идиотов еще гуляют.а нельзя сделать по другому.штрафы ваши не помогают.можно просто подойти сфотографировать и адрес записать.как только из этих адресов поступит звонок в скорую к ним просто НЕ ВЫЕЗЖАТЬ.сейчас они должны помощь получить и все места в больницах займут а кто соблюдал режим потом случайно заболеет ему скажут мест нет.а если еще раз поймать на улице кто нарушил просто в камеру .на краснопресненскую пересыльную под них сделать.достали идиоты ходят гуляют а потом спасай этих клоунов",Медицина,"заражаются, вирус, больница, заболеет"
"55,Здравствуйте.это просто дурдом какой то.в день по 1000 человек заражаются.такое ощущение где то очередь стоит в москве за вирусом.а сколько идиотов еще гуляют.а нельзя сделать по другому.штрафы ваши не помогают.можно просто подойти сфотографировать и адрес записать.как только из этих адресов поступит звонок в скорую к ним просто НЕ ВЫЕЗЖАТЬ.сейчас они должны помощь получить и все места в больницах займут а кто соблюдал режим потом случайно заболеет ему скажут мест нет.а если еще раз поймать на улице кто нарушил просто в камеру .на краснопресненскую пересыльную под них сделать.достали идиоты ходят гуляют а потом спасай этих клоунов",Медицина,"заражаются, вирус, больница, заболеет"
"56,Здравствуйте.это просто дурдом какой то.в день по 1000 человек заражаются.такое ощущение где то очередь стоит в москве за вирусом.а сколько идиотов еще гуляют.а нельзя сделать по другому.штрафы ваши не помогают.можно просто подойти сфотографировать и адрес записать.как только из этих адресов поступит звонок в скорую к ним просто НЕ ВЫЕЗЖАТЬ.сейчас они должны помощь получить и все места в больницах займут а кто соблюдал режим потом случайно заболеет ему скажут мест нет.а если еще раз поймать на улице кто нарушил просто в камеру .на краснопресненскую пересыльную под них сделать.достали идиоты ходят гуляют а потом спасай этих клоунов",Медицина,"заражаются, вирус, больница, заболеет"
"57,Здравствуйте.это просто дурдом какой то.в день по 1000 человек заражаются.такое ощущение где то очередь стоит в москве за вирусом.а сколько идиотов еще гуляют.а нельзя сделать по другому.штрафы ваши не помогают.можно просто подойти сфотографировать и адрес записать.как только из этих адресов поступит звонок в скорую к ним просто НЕ ВЫЕЗЖАТЬ.сейчас они должны помощь получить и все места в больницах займут а кто соблюдал режим потом случайно заболеет ему скажут мест нет.а если еще раз поймать на улице кто нарушил просто в камеру .на краснопресненскую пересыльную под них сделать.достали идиоты ходят гуляют а потом спасай этих клоунов",Медицина,"заражаются, вирус, больница, заболеет"
"58,Здравствуйте.это просто дурдом какой то.в день по 1000 человек заражаются.такое ощущение где то очередь стоит в москве за вирусом.а сколько идиотов еще гуляют.а нельзя сделать по другому.штрафы ваши не помогают.можно просто подойти сфотографировать и адрес записать.как только из этих адресов поступит звонок в скорую к ним просто НЕ ВЫЕЗЖАТЬ.сейчас они должны помощь получить и все места в больницах займут а кто соблюдал режим потом случайно заболеет ему скажут мест нет.а если еще раз поймать на улице кто нарушил просто в камеру .на краснопресненскую пересыльную под них сделать.достали идиоты ходят гуляют а потом спасай этих клоунов",Медицина,"заражаются, вирус, больница, заболеет"
"59,Почему немогу войти гос услуг",Сайт, немогу войти
"60,""Уважаемый Сергей Семёнович. Прошу Вас обратить внимание на тот факт, что не все дети владеют собственным мобильным телефоном и не у всех родителей есть по нескольку сим-карт для регистрации ребенка в электронном дневнике. Мой ребенок Чембарисова Катя учится в четвертом классе и не имеет возможности войти в дневник в качестве ученика, т.к. у нее нет своей собственной симки для регистрации. На сайте мос.ру она зарегистрирована со своим СНИЛС, но дневником и МЭШ пользуется под моим именем (родителя). Учителям нашей школы такая ситуация не нравится. Но в технической поддержке мос.ру и МЭШ нам ничем не могут помочь. Прошу дать возможность детям пользоваться МЭШ и ученическим дневником без телефона. С уважением, Мария""",Сергей Семенович Собянин,"Уважаемый, Сергей Семёнович"
",""Сделайте так, чтобы можно было самостоятельно удалить свой личный кабинет в случае необходимости.Удаление учетной записи через тех поддержку - это не удобно.""",Предложение сайт,"учетная запись,личный кабинет"
"Мне не удается записаться на портале на оформление загранпаспорта в МФЦ на ул. Куусинена (мои привычные инстанции на ул. Викторенко, МВД и МФЦ, пока не работают, и оттуда отсылают на Куусинена). Вся неделя оказывается занятой. Почему нет записи на следующую неделю, пусть через месяц, - я бы записалась и спокойно ждала своей очереди, а вместо этого должна каждый день в ноль часов заходить на портал и ловить вакантное место, как мне посоветовали в службе поддержки портала.",Сайт,"На портале,должна,ловить вакантное место"
"""Вы не правы! Мои родители и все родственники говорят, что на учет ставят с 16 лет! Если это не так, то прошу приложить к ответному письму приложить ДОКАЗАТЕЛЬСТВА.""",Спам,
"""Добрый день!Меня зовут Николаева Елизавета я администратор районной группы СОЛНЦЕВО (https://vk.com/moesolncevo) Пишу вам, уважаемый Сергей Семенович с просьбой, разместить ссылку группы на сайте MOS.ru, непосредственно на страничке где фигурирует информация о районе.Надеюсь на содействие.С Уважением, Николаева Елизавета.""",Предложение сайт,"Разместить ссылку, просьба, содействие"
"""Невозможно записаться на прием в Центр Госуслуг в 5-й Донской проезд 15 стр 8.Я подавал заявление на выдачу заграничного паспорта и не могу его получить.Предварительную запись на сайте очень сложно найти, а если зайти, то постоянно все временные интервалы заняты. Для кого все это делается? Точно не для людей.""",Сайт,"Записаться на прием,предварительную запись на сайте"
"""Добрый день!Необходимо предоставить зарегистрированным пользователям портала возможность самостоятельного удаления своей учетной записи, своего профиля с сайта.""",Предложение сайт,"Предоставить,портала,учетной записи"
"""Уважаемые господа!Почему я не могу заранее назначить встречу на оказание услуги Росреестра по регистрации ранее возникшего права на недвижимость с одновременным снятием обременения? Я вчера отстояла НА УЛИЦЕ в очереди больше часа, чтобы только войти в МФЦ. Затем не меньше получаса я сидела в ожидании, когда ПОЯВЯТСЯ ТАЛОНЫ (???!!!) для Росреестра. Затем на приеме мне ответили, что нужно прийти всем сособственникам,  а нас 4 человека, чтобы подтвердить ранее возникшее право, т.к. в Росреестре не занесены данные (???!!!!), он возник в 1998 году.  Нам теперь всем четверым на улице стоять, чтобы войти в здание? И как долго? Речь идет о """"Моих документах"""" по адресу ш. Энтузиастов, дом 2. Кстати, в очереди люди стоят вплотную друг к другу, и в большинстве своем без масок, поэтому ваш ответ со ссылкой о заботе о здоровье москвичей меня точно не устроит. Убедительно прошу принять меры, и предоставить возможность гражданам записываться на прием в Росреестр и, видимо, в другие службы тоже, оставляя при этом за ними право идти без записи.Заранее благодарю за ответ.""",Услуги,"МФЦ, услуга"
"""Здравствуйте! Несколько раз подряд не удалось реализовать возможность получения услуги «Запись на приём» в разделе «Оформление биометрического загранпаспорта гражданина Российской Федерации». Причиной такой неудачи каждый раз становилась невозможность найти свободное место в связи с отсутствием информации об открытии записи на новую неделю. В качестве способа решения данной проблемы хотелось бы предложить установление единого времени для получения данной услуги. Данное улучшение поможет гражданам успевать записываться на оформление биометрического загранпаспорта в срок, предусмотренный правилами. Надеюсь на содействие, спасибо!""",Предложение услуги,"предложить,способа решения, услуга, поможет"
"""Золотоордынские монеты на первой иллюстрации повёрнуты вверх ногами. Разверните картинку на 90 гр. Как-то несолидно, непрофессионально так презентовать материал, тем более, которому столько внимания уделено в тексте.""",Предложение сайт,"Повернуты вверх ногами,непрофессионально так презентовать материал"
"""Добавить информацию о """"справка об эпидемиологическом окружении""""""",Предложение сайт,Добавить информацию
"""Добрый день. На портале указана информация о благоустройстве и ремонте детской площадки и малых архитектурных форм во дворе домов Петрозаводская 24 и Клинская 19 (образуют единый двор). Но к сожалению никаких ремонтных работ не проводилось. Более того, игровая площадка для маленьких детей морально устарела, а так же имеет технологически нарушения (отваливаются) перила, что делает ее эксплуатацию небезопасной. Просим провести замену конструкций и установить во дворе современные игровые зоны, которые уже смонтированы во дворах по улице Дыбенко. Наш двор - место для игр десятков детей из 6 близлежащих домов.""",Благоустройство,"Ремонт, игровая площадка"
"""Здравствуйте, прошу добавить функцию автоматического подгружения (импортирования) данных заявителя при составлении обращения для открытия доступа к электронной медицинской карте.""",Предложение сайт,"Добавить функцию, электронная медицинская карта"
"""если не можете работать, например с мосэнергосбытом, исключите его из списка услуг""",Предложение сайт,Исключите из списка услуг
"""Предлагаю из предоставления любых электронных услуг убрать физический документооборот. Как например, при подаче обжалования штрафа - я обжалую штраф под своим аккаунтом Госуслуг, со всеми подтвержденными данными, голосовать я могу, а вот для обжалования мне нужно распечатать жалобу, отсканировать ее со  своей подписью и отправить!! В каком месте здесь электронная услуга???""",Сайт,Под своим аккаунтом Госуслуг
"""Объясните почему в программе (Московский Врач) нет специальности стоматолог???Чтобы стать московским врачом необходимо быть врачом и кем угодно,только не стоматологом? Или стоматолог не врач?Скажите,пожалуйста,почему такая несправедливость?""",Медицина,"Московский Врач,врачом"
"""С целью улучшения транспортного обслуживания предлагаю маршруты троллейбусов Т54 и Т50  продлить до метро Марьино. Если раньше для этого нужно было проводить провода, то теперь вместо обычных троллейбусов ходят нормальные автобусы. Это было бы правильно и для жителей нового микрорайона Домашний.""",Предложение транспорт,"Транспортного обслуживания,маршруты,троллейбусов,автобусы, бьло бы правильно"
Не могу привязать СНИЛС,Сайт,Привязать СНИЛС
Не могу привязать СНИЛС,Сайт,Привязать СНИЛС
"""Добрый день!Откликнулся на вакансию, размещенную вашим порталом, на hh.ru, а так же отправлял резюме на почту #ЭПОЧТА.ru, но ответа так и не получил.Было бы здорово, если бы ваш отдел кадров давал обратную связь по просьбам о принятии на работу, даже в случае отказа.Уверен, что это будет только плюсом для вашего имиджа.""",Предложение сайт,"обратная связь, портал, было бы здорово"
почему нет номера 8800... денег мало?,Спам,
Я работаю учителем физической культуры в г Москва Знаю что многие реорганизации в школьном образовании происходят по вашей рекомендации . Знаю что нужно и как возможно в данной ситуации делать с физической культурой дополнительным образованием и массовыми мероприятиями С уважением,Предложение благоустройство,"Знаю,физической культурой,массовыми мероприятиями,дополнительным образованием"
"""улучшить регистрацию клиента сайта, чтоб корректно введенная дата была корректной, чтоб снилс сохранялся после введения, чтоб паспорт можно было ввести без введения снилса, который не сохраняется, чтоб нормально все работало, с первого раза, а не как обычно!!!!!""",Предложение сайт,Улучшить регистрацию клиента сайта
"""Добрый день , сегодня была у вас в отделении на пражской мои документы  , мало того что направили не в то окно , и я потратила 1 час 20 мин в очереди живой, в администрации не знали в каком окне оформляют иностранных сотрудников , так ещё в этой очереди напала женщина и избила , сотрудники сделали вид что не уволили ничего , а травму я получила . Ужасно начали работать после карантина""",Услуги,"Документы,направили не в то окно"
"""Se?or Comandante, Вы не могли бы выключить кондиционеры в автобусах и трамваях? Летом должно быть тепло, а не холодно.""",Предложение транспорт,"В автобусах,трамваях"
"""2 июля 2020 в 17:13 Услуга оказана. Решение отрицательное.Подача запроса на предоставление доступа к электронной медицинской карте.Подробнее.История.Данные по заявке.Номер заявки: #ЕНО.Ведомство: Департамент здравоохранения города Москвы.Вам отказано в предоставлении услуги в связи с тем, что прикрепленная фотография не соответствует установленным требованиям (в т.ч. не поддается прочтению), либо в интерактивном запросе и приложенной фотографии имеются недостоверные или противоречивые сведения. Много времени потратил чтобы сделать такую фотографии. Мало того, что она не принята мне придется еще раз подвернуться унижению с вашей стороны ведь эта фотография похоже на те которые делаются в местах заключения или с людьми опасными для общества. Мне нужен доступ к электронной карте чтоб посмотреть анализы на короновирус, а мне отказывают. Прошу проработать предоставление данных для получения доступа к электронной карте они явно завышены.""",Предложение сайт,"Фотография не соответствует требованиям,мне отказывают,прошу проработать предоставление данных"
