texts,Classes,Key_words,label
Добрый день,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"И Почему бы, например, не подумать администрации городов",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
Хочу подчеркнуть тот факт что решение данного вопроса не должно казаться аспекта собственников или не собственников квартир дабы исключить ненужные споры и,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
Добрый день,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"И поэтому люди отсюда как ездили на автобусах на метро так и говорит,это вам не муниципальный бассейн",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"Прежде необходимо обеспечить население масками и перчатками, а затем вводить ограничения""",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"19""",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
11,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
Или на штрафах заработать захотели,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"19""",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"В этом районе много семей с детьми ,почему не построить приличную детскую площадку,кинотеатр",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"Будет здорово, если вы рассмотрите это предложение",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"Не только, я но и многие жители Москвы (да и собственно других городов России) обращают внимание один факт : в тех многоэтажных домах в которых имеются пристройки , их жители часто испытывают некий своего рода дискомфорт от того что данные пристройки используются под разные коммерческие цели(ведь любое использование имеет побочные последствия в зависимости от цели назначения(например, магазин продуктов это риск появления тараканов крыс и",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
Рассматривая тот факт что решение данного вопроса не должно казаться аспекта собственников или не собственников квартир дабы исключить ненужные споры и,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"""Добрый день",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
От нашей улицы до ст,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
", что так или иначе тенденция роста цен в разных сферам услуг имеет место, то учитывая все выше сказанное(вернее предложенное к рассмотрению) ,по моему мнению, приведет к небольшому улучшению потребительной способности (хотя бы той части населения которые проживают в домах с пристройками )",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
Некоторые помещения можно использовать под коворкинг или творческие мастерских и так далее,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"15,""По поводу новости культуры",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"Будет здорово, если вы рассмотрите это предложение",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
Лестничные площадки имеют ограниченную площадь,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"На портале указана информация о благоустройстве и ремонте детской площадки и малых архитектурных форм во дворе дома №6 по Крымскому валу стоит абсолютно сухое дерево, его возраст около 30 лет, его падение, по-моему, - дело нескольких дней",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"""",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
Савицкого,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"Рассматривая тот факт , что так или иначе тенденция роста цен в разных сферам услуг имеет место, то учитывая все выше сказанное(вернее предложенное к рассмотрению) ,по моему мнению, приведет к небольшому улучшению потребительной способности (хотя бы той части населения которые проживают в домах с пристройками )",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
Спрашиваю для кого вы здесь его построили,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
Или на штрафах заработать захотели,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"А как вы выражаетесь пешком 2 км пройти,это не каждому под силу и в такие погодные условия,это надо быть спортсменом",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"""",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"А как вы выражаетесь пешком 2 км пройти,это не каждому под силу и в такие погодные условия,это надо быть спортсменом",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"15,""По поводу новости культуры",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"""Хочу спросить-по какому генплану надо строить торговый центр на ступеньках подьезда дома 8 по ул Марш",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"1, 4-й подъезд",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"А Москва для своих малоимущих граждан не хочет сделать так же имеет технологически нарушения (отваливаются) перила, что делает ее эксплуатацию небезопасной",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
д,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
Спрашиваю для кого вы здесь его построили,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
"""Здравствуйте",Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
Савицкого,Благоустройство,"27,Здравствуйте. У меня вопрос думаю очень актуальный в сегодняшних условиях проживания в Москве пенсионеров и инвалидов. Практически по всей стране для пенсионеров администрация предоставила возможность покупать медицинские маски по льготной цене а именно по 11 рублей.  Конкретно в подмосковье.  А Москва для своих малоимущих граждан не хочет сделать так же ? Ценыне на продукты уже выросли пенсии те-же остались а теперь ещё и маски с перчатками добавились по сумасшедшим ценам для нас. Я имею в виду людей с ограниченным и возможностями.",2
